Account Number,Transaction Date,Transaction Description,Transaction Amount,Transaction Type,Category,Season
7157,12/31/19,WP CENTER PARKING DPT WHITE PLAINS NY,2,Debit,Transportation,Winter
7157,12/31/19,SQU*SQ *HASTINGS TEA & White Plains NY,4.28,Debit,Food,Winter
7157,12/31/19,BP#9569005BAJAJ GASQPS WHITE PLAINS NY,47,Debit,Transportation,Winter
7157,12/30/19,PAYPAL *SHIJINTAIPE EB 4029357733 CA,9.29,Debit,Transportation,Winter
7157,12/19/19,USA TECH-VEN*USA*CANTE NEW YORK NY Digital Account Number XXXXXXXXXXXX1645,3.65,Debit,Food,Fall
7157,12/19/19,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX1645,5.3,Debit,Food,Fall
7157,12/18/19,AMZN MKTP US*0M62C8PK3 AMZN.COM/BILL WA,32.82,Debit,Shopping,Fall
7157,12/15/19,"ONLINE PAYMENT, THANK YOU",-830.33,Credit,Earning,Fall
7157,12/15/19,BP#9412925BP BEST SQPS NEW YORK NY,33.76,Debit,Transportation,Fall
7157,12/14/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,12/14/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,12/13/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.5,Debit,Transportation,Fall
7157,12/13/19,MAMASUSHI NEW YORK NY,55.4,Debit,Food,Fall
7157,12/12/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,12/12/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,12/12/19,PAYPAL *EBAY DOUGSGADG 4029357733 CA,27.21,Debit,Shopping,Fall
7157,12/11/19,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX1645,1.8,Debit,Food,Fall
7157,12/11/19,BP#6639009MOUNT VERQPS MOUNT VERNON NY,40.02,Debit,Transportation,Fall
7157,12/10/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,12/9/19,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,-25,Credit,Earning,Fall
7157,12/9/19,AMZN MKTP US AMZN.COM/ AMZN.COM/BILL WA,-18.41,Credit,Earning,Fall
7157,12/9/19,MTA*METROCARD MACHINE NEW YORK NY,40,Debit,Transportation,Fall
7157,12/6/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,12/6/19,PAYPAL *UBER 4029357733 CA,1.03,Debit,Transportation,Fall
7157,12/6/19,PAYPAL *UBER 4029357733 CA,18.6,Debit,Transportation,Fall
7157,12/5/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,12/5/19,AMZN Mktp US*QD0RP6NT3 Amzn.com/bill WA,59.55,Debit,Shopping,Fall
7157,12/4/19,MTA*MNR ETIX TICKET 877-690-5116 NY,8.75,Debit,Transportation,Fall
7157,12/4/19,Spotify USA New York NY,4.99,Debit,Entertainment,Fall
7157,12/3/19,MTA*MNR ETIX TICKET 877-690-5116 NY,7.25,Debit,Transportation,Fall
7157,12/3/19,MTA*MNR ETIX TICKET 877-690-5116 NY,11.5,Debit,Transportation,Fall
7157,12/3/19,UNCLE TONYS PIZZA NEW YORK NY,13.7,Debit,Food,Fall
7157,12/2/19,"ONLINE PAYMENT, THANK YOU",-500,Credit,Earning,Fall
7157,11/30/19,BP#4836920FORDHAM AQPS BRONX NY,45.12,Debit,Transportation,Fall
7157,11/27/19,HONEYBAKED HAM OF WHIT HARTSDALE NY,92.61,Debit,Food,Fall
