account_number,transaction_date,transaction_amount,transaction_type,transaction_description,category
7157,4/30/20,64.86,Debit,MARK & MIKE WHOLESALE YONKERS NY,Food
7157,4/30/20,30.53,Debit,FOOD BAZAAR #40 MOUNT VERNON NY,Food
7157,4/30/20,18.51,Debit,FOODTOWN #562 MT. VERNON NY,Food
7157,4/30/20,17.99,Debit,MARK & MIKE WHOLESALE YONKERS NY,Food
7157,4/30/20,10.88,Debit,MIKE&MARK WHOLESALE WI YONKERS NY,Food
7157,4/29/20,25.35,Debit,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,4/28/20,-448.63,Credit,"ONLINE PAYMENT, THANK YOU",
7157,4/22/20,23.56,Debit,MCDONALD'S F19653 MOUNT VERNON NY,Food
7157,4/20/20,19.95,Debit,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,4/20/20,6.67,Debit,INTEREST CHARGED TO STANDARD PURCH,Other
7157,4/15/20,27.77,Debit,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,4/9/20,-25,Credit,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,
7157,4/6/20,33.36,Debit,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,4/4/20,-128.97,Credit,Amazon Prime 8665572820 WA,
7157,4/4/20,128.97,Debit,Amazon Prime*4L5SD4CK3 8665572820 WA,Shopping
7157,4/4/20,4.99,Debit,Spotify USA New York NY,Entertainment
7157,4/1/20,7.2,Debit,TOMATO FARM INC MOUNT VERNON NY,Food
7157,4/1/20,25,Debit,PP*FACEBOOKPAY CDCFOUN 4029357733 CA,Health
7157,3/19/20,39.5,Debit,CHICKEN LOVERS BAYSIDE NY,Food
7157,3/18/20,40,Debit,BP#6455471HAWTHORNEQPS HAWTHORNE NY,Transportation
7157,3/15/20,-2000,Credit,"ONLINE PAYMENT, THANK YOU",
7157,3/15/20,51,Debit,EL MARINERO RESTAURANT YONKERS NY,Food
7157,3/14/20,2.17,Debit,FAMILY DOLLAR #11344 MOUNT VERNON NY,Shopping
7157,3/14/20,29,Debit,LA PINATA LTD YONKERS NY,Food
7157,3/14/20,33.6,Debit,Lincoln Barbecue Mount Vernon NY,Food
7157,3/14/20,38.03,Debit,CVS/PHARMACY #05861 MOUNT VERNON NY,Health
7157,3/11/20,1.5,Debit,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX9898,Food
7157,3/10/20,-211.11,Credit,AMERICAN00121205088101 8004337300 TX,
7157,3/10/20,-211.11,Credit,AMERICAN00121205088119 8004337300 TX,
7157,3/10/20,-211.11,Credit,AMERICAN00121205088127 8004337300 TX,
7157,3/10/20,-211.11,Credit,AMERICAN00121205088135 8004337300 TX,
7157,3/10/20,-211.11,Credit,AMERICAN00121205088143 8004337300 TX,
7157,3/10/20,30,Debit,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,3/9/20,-35.5,Credit,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,
7157,3/9/20,211.11,Debit,AMERICAN0012120508814 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120508812 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120508811 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120508810 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120508813 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120507162 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120507165 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120507163 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120507166 8004337300 TX,Travel
7157,3/9/20,211.11,Debit,AMERICAN0012120507164 8004337300 TX,Travel
7157,3/7/20,25.85,Debit,DUNKIN #348518 Q35 PELHAM NY,Food
7157,3/6/20,20,Debit,STARBUCKS STORE 51379 YONKERS NY,Food
7157,3/5/20,25.5,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,3/4/20,4.99,Debit,Spotify USA New York NY,Entertainment
7157,2/28/20,3,Debit,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2/28/20,42.1,Debit,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2/28/20,39,Debit,THE PARLOUR NEW YORK NY,Entertainment
7157,2/27/20,15,Debit,PIZZA KING MOUNT VERNON NY,Food
7157,2/23/20,7.48,Debit,MCDONALD'S F4199 YONKERS NY,Food
7157,2/22/20,43.43,Debit,SHOPRITE GREEWYPLZA S1 YONKERS NY,Shopping
7157,2/21/20,17.23,Debit,AMZN Mktp US*RZ74R86C3 Amzn.com/bill WA,Shopping
7157,2/20/20,41.63,Debit,BP#6639009MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2/20/20,43.84,Debit,AMZN Mktp US*KB0209WP3 Amzn.com/bill WA,Shopping
7157,2/20/20,45.94,Debit,AMZN Mktp US*JL9HG1353 Amzn.com/bill WA,Shopping
7157,2/20/20,28.5,Debit,INTEREST CHARGED TO STANDARD PURCH,Other
7157,2/19/20,-2000,Credit,"ONLINE PAYMENT, THANK YOU",
7157,2/19/20,40,Debit,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,2/19/20,40,Debit,MTA*METROCARD MACHINE NEW YORK NY,Transportation
7157,2/17/20,60,Debit,THE CHARLESTON BROOKLYN NY,Entertainment
7157,2/16/20,4,Debit,ARCHER AVE GARAGE YONKERS NY,Entertainment
7157,2/16/20,53,Debit,MIDWAY BAR LLC BROOKLYN NY,Entertainment
7157,2/15/20,249.23,Debit,LITTLE MEXICAN CAFE NEW ROCHELLE NY,Food
7157,2/13/20,27.21,Debit,PAYPAL *DOUGSGADGET EB 4029357733 CA,Shopping
7157,2/13/20,41.21,Debit,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2/9/20,-25,Credit,AUTOPAY 190701043711444RAUTOPAY AUTO-PMT,
