account_number,transaction_date,transaction_amount,transaction_description,category
7157,2020/04/30,64.86,MARK & MIKE WHOLESALE YONKERS NY,Food
7157,2020/04/30,30.53,FOOD BAZAAR #40 MOUNT VERNON NY,Food
7157,2020/04/30,18.51,FOODTOWN #562 MT. VERNON NY,Food
7157,2020/04/30,17.99,MARK & MIKE WHOLESALE YONKERS NY,Food
7157,2020/04/30,10.88,MIKE&MARK WHOLESALE WI YONKERS NY,Food
7157,2020/04/29,25.35,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,2020/04/22,23.56,MCDONALD'S F19653 MOUNT VERNON NY,Food
7157,2020/04/20,19.95,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,2020/04/20,6.67,INTEREST CHARGED TO STANDARD PURCH,Other
7157,2020/04/15,27.77,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,2020/04/06,33.36,BP#6455471HAWTHORNEQPS 9147692008 NY,Transportation
7157,2020/04/04,128.97,Amazon Prime*4L5SD4CK3 8665572820 WA,Shopping
7157,2020/04/04,4.99,Spotify USA New York NY,Entertainment
7157,2020/04/01,7.2,TOMATO FARM INC MOUNT VERNON NY,Food
7157,2020/04/01,25.0,PP*FACEBOOKPAY CDCFOUN 4029357733 CA,Health
7157,2020/03/19,39.5,CHICKEN LOVERS BAYSIDE NY,Food
7157,2020/03/18,40.0,BP#6455471HAWTHORNEQPS HAWTHORNE NY,Transportation
7157,2020/03/15,51.0,EL MARINERO RESTAURANT YONKERS NY,Food
7157,2020/03/14,2.17,FAMILY DOLLAR #11344 MOUNT VERNON NY,Shopping
7157,2020/03/14,29.0,LA PINATA LTD YONKERS NY,Food
7157,2020/03/14,33.6,Lincoln Barbecue Mount Vernon NY,Food
7157,2020/03/14,38.03,CVS/PHARMACY #05861 MOUNT VERNON NY,Health
7157,2020/03/11,1.5,CMSVEND*CV FARMINGDALE AMITYVILLE NY Digital Account Number XXXXXXXXXXXX9898,Food
7157,2020/03/10,30.0,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2020/03/09,211.11,AMERICAN0012120508814 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120508812 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120508811 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120508810 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120508813 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120507162 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120507165 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120507163 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120507166 8004337300 TX,Travel
7157,2020/03/09,211.11,AMERICAN0012120507164 8004337300 TX,Travel
7157,2020/03/07,25.85,DUNKIN #348518 Q35 PELHAM NY,Food
7157,2020/03/06,20.0,STARBUCKS STORE 51379 YONKERS NY,Food
7157,2020/03/05,25.5,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/03/04,4.99,Spotify USA New York NY,Entertainment
7157,2020/02/28,3.0,MTA*MNR ETIX TICKET 877-690-5116 NY,Transportation
7157,2020/02/28,42.1,BP#8841215MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2020/02/28,39.0,THE PARLOUR NEW YORK NY,Entertainment
7157,2020/02/27,15.0,PIZZA KING MOUNT VERNON NY,Food
7157,2020/02/23,7.48,MCDONALD'S F4199 YONKERS NY,Food
7157,2020/02/22,43.43,SHOPRITE GREEWYPLZA S1 YONKERS NY,Shopping
7157,2020/02/21,17.23,AMZN Mktp US*RZ74R86C3 Amzn.com/bill WA,Shopping
7157,2020/02/20,41.63,BP#6639009MOUNT VERQPS MOUNT VERNON NY,Transportation
7157,2020/02/20,43.84,AMZN Mktp US*KB0209WP3 Amzn.com/bill WA,Shopping
7157,2020/02/20,45.94,AMZN Mktp US*JL9HG1353 Amzn.com/bill WA,Shopping
7157,2020/02/20,28.5,INTEREST CHARGED TO STANDARD PURCH,Other
